code,name,population,area,type,level,lat,lon
31527,Neumarkt an der Ybbs,1818,9.3315,Gemeinde,6,48.14,15.06
31528,Nöchling,1007,19.5943,Gemeinde,6,48.22,14.98
31530,Persenbeug-Gottsdorf,2213,8.3163,Gemeinde,6,48.19,15.09
31531,Petzenkirchen,1294,2.8922,Gemeinde,6,48.15,15.16
31533,Pöchlarn,3689,17.9528,Gemeinde,6,48.21,15.21
31534,Pöggstall,2559,58.916,Gemeinde,6,48.32,15.2
31535,Raxendorf,1073,36.2482,Gemeinde,6,48.34,15.28
31537,Ruprechtshofen,2234,30.5682,Gemeinde,6,48.14,15.28
31539,Sankt Leonhard am Forst,2996,43.4751,Gemeinde,6,48.14,15.29
31540,Sankt Martin-Karlsbach,1671,24.9291,Gemeinde,6,48.16,15.04
31541,Sankt Oswald,1126,32.1749,Gemeinde,6,48.27,15.04
31542,Schönbühel-Aggsbach,1025,28.3589,Gemeinde,6,48.26,15.39
31543,Schollach,921,19.691,Gemeinde,6,48.18,15.38
31546,Weiten,1149,28.5223,Gemeinde,6,48.28,15.25
31549,Ybbs an der Donau,5777,23.8268,Gemeinde,6,48.17,15.08
31550,Zelking-Matzleinsdorf,1219,21.1918,Gemeinde,6,48.18,15.25
31551,Texingtal,1587,32.445,Gemeinde,6,48.03,15.31
31552,Yspertal,1850,47.674,Gemeinde,6,48.3,15.05
31553,Emmersdorf an der Donau,1738,29.8163,Gemeinde,6,48.23,15.33
31601,Altlichtenwarth,763,20.4571,Gemeinde,6,48.65,16.8
31603,Asparn an der Zaya,1789,40.4872,Gemeinde,6,48.59,16.5
31604,Bernhardsthal,1656,51.9985,Gemeinde,6,48.69,16.87
31605,Bockfließ,1342,22.8742,Gemeinde,6,48.36,16.6
31606,Drasenhofen,1134,35.1986,Gemeinde,6,48.75,16.65
31608,Falkenstein,462,19.1701,Gemeinde,6,48.72,16.59
31609,Fallbach,842,30.429,Gemeinde,6,48.66,16.41
31611,Gaubitsch,919,22.4769,Gemeinde,6,48.66,16.38
31612,Gaweinstal,3641,51.6526,Gemeinde,6,48.48,16.59
31613,Gnadendorf,1188,48.2519,Gemeinde,6,48.62,16.4
31614,Großebersdorf,2213,18.0188,Gemeinde,6,48.37,16.47
31615,Groß-Engersdorf,1448,15.5751,Gemeinde,6,48.36,16.57
31616,Großharras,1175,42.6714,Gemeinde,6,48.66,16.25
31617,Großkrut,1620,38.4431,Gemeinde,6,48.64,16.72
31620,Hausbrunn,858,16.1764,Gemeinde,6,48.63,16.83
31621,Herrnbaumgarten,996,16.4844,Gemeinde,6,48.7,16.68
31622,Hochleithen,1148,19.8432,Gemeinde,6,48.47,16.53
31627,Kreuttal,1353,21.5105,Gemeinde,6,48.45,16.45
31628,Kreuzstetten,1519,24.3158,Gemeinde,6,48.48,16.47
31629,Laa an der Thaya,6031,72.9049,Gemeinde,6,48.72,16.38
31630,Ladendorf,2160,50.0559,Gemeinde,6,48.53,16.48
31633,Mistelbach,10907,131.3881,Gemeinde,6,48.58,16.5
31634,Neudorf bei Staatz,1380,40.1368,Gemeinde,6,48.72,16.49
31636,Niederleis,816,19.5148,Gemeinde,6,48.55,16.4
31642,Pillichsdorf,1064,14.321,Gemeinde,6,48.36,16.54
31644,Poysdorf,5514,97.248,Gemeinde,6,48.67,16.63
31645,Rabensburg,1100,20.1675,Gemeinde,6,48.65,16.9
31646,Schrattenberg,828,19.1488,Gemeinde,6,48.72,16.72
31649,Staatz,1999,42.632,Gemeinde,6,48.68,16.49
31650,Stronsdorf,1655,48.1659,Gemeinde,6,48.65,16.28
31651,Ulrichskirchen-Schleinbach,2418,26.5037,Gemeinde,6,48.41,16.49
31652,Unterstinkenbrunn,586,9.4254,Gemeinde,6,48.67,16.35
31653,Wildendürnbach,1580,53.6274,Gemeinde,6,48.76,16.5
31654,Wilfersdorf,2008,30.4757,Gemeinde,6,48.58,16.63
31655,Wolkersdorf im Weinviertel,6759,44.37,Gemeinde,6,48.38,16.52
31658,Ottenthal,613,15.3906,Gemeinde,6,48.76,16.58
31701,Achau,1177,11.8776,Gemeinde,6,48.08,16.39
31702,Biedermannsdorf,2902,8.9536,Gemeinde,6,48.08,16.35
31703,Breitenfurt bei Wien,5478,26.9994,Gemeinde,6,48.13,16.15
31704,Brunn am Gebirge,10204,7.2634,Gemeinde,6,48.11,16.28
31706,Gaaden,1557,24.7779,Gemeinde,6,48.05,16.18
31707,Gießhübl,1887,3.8945,Gemeinde,6,48.1,16.23
31709,Gumpoldskirchen,3277,8.1087,Gemeinde,6,48.05,16.28
31710,Guntramsdorf,8688,14.8638,Gemeinde,6,48.03,16.3
31711,Hennersdorf,1440,5.4848,Gemeinde,6,48.1,16.37
31712,Hinterbrühl,4044,16.938,Gemeinde,6,48.08,16.23
31713,Kaltenleutgeben,3103,17.5038,Gemeinde,6,48.12,16.18
31714,Laab im Walde,1153,7.1509,Gemeinde,6,48.16,16.18
31715,Laxenburg,2671,10.5932,Gemeinde,6,48.07,16.36
31716,Maria Enzersdorf,8464,5.3606,Gemeinde,6,48.1,16.28
31717,Mödling,20609,9.9513,Gemeinde,6,48.07,16.25
31718,Münchendorf,2289,19.9941,Gemeinde,6,48.03,16.38
31719,Perchtoldsdorf,14116,12.5938,Gemeinde,6,48.12,16.27
31723,Vösendorf,5490,10.4865,Gemeinde,6,48.12,16.33
